site,year,temp,snails
1,1,13.68622609649274,25.62674508430483
1,2,15.45277924580378,23.877203823525523
1,3,13.675127161071622,23.963803967645525
1,4,15.097231395764735,27.006328537440073
1,5,15.131151260255587,28.563175506267335
1,6,15.117024539619688,31.11580054190901
1,7,16.85580839605921,30.219979745528708
1,8,15.152218613983306,23.082759181722103
1,9,14.681895446236197,26.31766406950436
1,10,15.389345374132816,26.9353868982826
2,1,15.344527825460576,23.728202213572143
2,2,15.98887943423477,24.86449031021875
2,3,16.13899233191808,23.42933282088092
2,4,17.58658373006941,30.279510508121284
2,5,16.847194048263223,23.753041930732987
2,6,16.95246548133629,26.44065373081464
2,7,15.357712918744708,26.560830555251634
2,8,16.659403374570434,28.4063692074755
2,9,16.541522549644874,24.933764874346362
2,10,15.905398253460163,25.80286497736429
3,1,12.949590213388271,23.27939380081267
3,2,14.447659671979926,23.447206296693885
3,3,13.19503591535679,21.544985614639728
3,4,12.707686822516159,22.794242186301993
3,5,12.259192272967798,21.00129898299587
3,6,14.540809791439786,23.752216167398466
3,7,14.582121994358191,26.511416596635602
3,8,11.687154389576442,25.286575073501425
3,9,13.270617779709667,26.431390982019593
3,10,13.582948420397429,22.551494078849046
4,1,17.559169766938947,27.273706420312728
4,2,16.887621512471522,23.02930933406366
4,3,18.669846133542094,23.091315324336744
4,4,17.801919629277283,24.43639456367052
4,5,17.370952333914698,26.540764724197647
4,6,19.044245656716125,27.68242683211569
4,7,16.478561153474146,26.139190789032234
4,8,19.052631707288892,25.719965346011122
4,9,18.146104224821286,26.674915338576152
4,10,18.858957051014908,26.402576260466397
5,1,13.515085265077536,27.612360726332778
5,2,12.426082808676352,23.33743515996929
5,3,12.31783033812831,25.780436538837908
5,4,13.132779906404293,24.08540142923018
5,5,13.742291942359792,26.545491971623818
5,6,11.705728326742465,24.216744836944873
5,7,12.60092333884462,20.8635975491139
5,8,13.588778584081041,27.800659664133175
5,9,13.320733185806606,27.315016620497698
5,10,13.37646736160191,25.005116333219018
6,1,19.18410946779526,25.539178131394756
6,2,15.740597532247007,23.96993844857166
6,3,18.095573544019786,25.370928223763638
6,4,17.71756764049411,28.457880557221586
6,5,18.1860483578376,27.559224338828507
6,6,16.950469559942825,25.347164040059276
6,7,16.984142765749528,26.97525818538299
6,8,17.695944972404178,25.911612560098682
6,9,16.58435236758066,22.391269778729065
6,10,16.79412186477732,23.68030993265259
7,1,18.025708360649062,23.203813276891637
7,2,19.502915736779237,25.867014345355322
7,3,17.105684701176326,23.7822595971557
7,4,16.96469860726389,18.892241949854284
7,5,16.04466962690464,21.978912918732565
7,6,16.91643163913441,24.53523359962848
7,7,17.024757435191127,23.232634947975654
7,8,17.449773631873274,23.480702204665022
7,9,15.448014876457524,21.911193637948585
7,10,17.605668253644314,26.230190286673242
8,1,13.650331464843164,28.874835328749718
8,2,11.28506344594474,22.96529743299063
8,3,11.966866210846868,25.44871274623475
8,4,13.122640394185577,24.480076608183087
8,5,14.976686247513706,25.660432255208445
8,6,13.39393336922055,28.86351962558812
8,7,11.968834349668088,24.687278644016345
8,8,12.74915695555578,26.183601337073203
8,9,12.497865095361488,24.22590973671842
8,10,14.415614915177759,24.06451893885771
9,1,13.389447540765198,27.582809853053515
9,2,13.67765015468568,23.579541061548657
9,3,12.530498314903147,26.19669250037605
9,4,12.052328123916743,25.432750136672627
9,5,12.70477233784717,24.64602484170191
9,6,13.716890075404894,26.19690874196936
9,7,13.410143629785994,25.946873020553276
9,8,13.870726661427186,27.896881314030384
9,9,12.015682547985461,24.241786640814567
9,10,14.46610505487029,28.257246712754853
10,1,17.480295860726187,30.36846409277623
10,2,15.411268722012109,26.133648248668575
10,3,15.460860941048427,26.616833141203603
10,4,14.911523749176752,28.315216223337288
10,5,15.48664051082998,24.218720853676892
10,6,16.872649902473356,24.003163443204645
10,7,14.78167017679272,24.94912418902642
10,8,16.024252127808563,23.679613561789953
10,9,15.538085572478792,24.46337490352194
10,10,17.041294639418204,28.24124971593258
